Entity,Code,Day,Percentage of flexitarians,Percentage of people with other diets,Percentage of vegans,Percentage of meat eaters,Percentage of pescetarians,Percentage of vegetarians
18-24,,2019-07-18,11,4,7,67,1,10
18-24,,2020-01-06,17,5,5,62,2,9
18-24,,2020-07-14,13,8,7,60.000004,3,9
18-24,,2021-01-03,13,4,2,65,5,11
18-24,,2021-07-12,11,11,9,55,5,10
18-24,,2022-01-04,20,9,5,52,4,10
18-24,,2022-07-11,14,11,4,62,1,8
18-24,,2023-01-02,11,5,3,68,3,9
18-24,,2023-07-12,8,7,1,76,3,6
18-24,,2024-01-03,13,7,4,64,2,10
18-24,,2024-07-08,10,9,2,71,3,5
18-24,,2025-01-01,14,5,5,61,3,12
25-49,,2019-07-18,12,3,3,73,3,6
25-49,,2020-01-06,16,4,2,68,2,7
25-49,,2020-07-14,12,4,2,72,3,7
25-49,,2021-01-03,13,2,2,73,3,6
25-49,,2021-07-12,15.000001,4,4,66,3,8
25-49,,2022-01-04,16,5,2,68,3,5
25-49,,2022-07-11,18,4,4,67,3,5
25-49,,2023-01-02,14,4,5,68,3,7
25-49,,2023-07-12,15.000001,5,3,69,3,6
25-49,,2024-01-03,14,5,3,70,3,5
25-49,,2024-07-08,14,3,3,71,3,6
25-49,,2025-01-01,13,4,4,71,2,6
50-64,,2019-07-18,12,3,2,75,3,4
50-64,,2020-01-06,14,1,1,77,3,3
50-64,,2020-07-14,14,3,2,73,2,5
50-64,,2021-01-03,14,2,2,77,2,4
50-64,,2021-07-12,16,3,2,71,2,5
50-64,,2022-01-04,14,3,3,73,2,5
50-64,,2022-07-11,16,2,1,72,4,5
50-64,,2023-01-02,13,2,2,78,2,3
50-64,,2023-07-12,16,3,2,72,3,4
50-64,,2024-01-03,9,1,2,80,4,4
50-64,,2024-07-08,12,2,2,76,2,6
50-64,,2025-01-01,12,2,2,76,2,6
65+,,2019-07-18,16,4,0,75,3,2
65+,,2020-01-06,15.000001,4,1,77,2,2
65+,,2020-07-14,15.000001,3,0,78,3,2
65+,,2021-01-03,15.000001,3,1,75,3,2
65+,,2021-07-12,13,3,0,75,4,5
65+,,2022-01-04,13,2,0,78,3,3
65+,,2022-07-11,13,1,1,78,3,3
65+,,2023-01-02,18,3,1,73,3,3
65+,,2023-07-12,15.000001,3,1,74,2,4
65+,,2024-01-03,14,3,1,74,4,4
65+,,2024-07-08,16,3,2,71,3,5
65+,,2025-01-01,16,2,1,75,3,4
All adults,,2019-07-18,13,3,2,73,3,5
All adults,,2020-01-06,15.000001,4,2,72,2,5
All adults,,2020-07-14,13,4,2,72,3,6
All adults,,2021-01-03,14,3,2,73,3,5
All adults,,2021-07-12,14,4,3,68,3,7
All adults,,2022-01-04,16,4,2,70,3,5
All adults,,2022-07-11,16,4,2,70,3,5
All adults,,2023-01-02,14,3,3,71,3,5
All adults,,2023-07-12,14,4,2,72,3,5
All adults,,2024-01-03,13,4,2,73,3,5
All adults,,2024-07-08,13,3,3,72,3,6
All adults,,2025-01-01,13,3,3,72,2,6